19

19	8	0	255	255	255	140	360
19	0	1	255	255	255	140	360
19	8	2	255	255	255	140	360
19	0	3	255	255	255	140	360
19	8	4	255	255	255	140	360
19	0	5	255	255	255	140	360
19	8	6	255	255	255	140	360
19	0	7	255	255	255	140	360
19	8	8	255	255	255	140	360
19	0	9	255	255	255	140	360
19	8	10	255	255	255	140	360
19	0	11	255	255	255	140	360
19	8	12	255	255	255	140	360
19	0	13	255	255	255	140	360
19	8	14	255	255	255	140	360
19	0	15	255	255	255	140	360
19	8	16	255	255	255	140	360
19	0	17	255	255	255	140	360
19	8	18	255	255	255	140	360
